file,pulse_index,rise_time_ms,fall_time_ms,width_ms,gap_to_next_ms,period_ms,rise_1090_ms,fall_9010_ms
F0026CH1,7,199.8550,249.8125,49.9575,49.9957,99.9532,0.6006,0.3533
F0026CH1,8,299.8082,349.8882,50.0801,49.9079,99.9880,0.3461,0.6537
F0026CH1,9,399.7962,450.2038,50.4077,nan,nan,0.3262,0.3262
F0027CH1,0,-399.8619,-350.1316,49.7303,49.9804,99.7107,0.5836,0.6224
F0027CH1,1,-300.1512,-250.1960,49.9552,50.2034,100.1586,0.5860,0.3392
F0027CH1,2,-199.9926,-149.9312,50.0613,49.7891,99.8505,0.6527,0.6826
F0027CH1,3,-100.1421,-50.0813,50.0609,50.1027,100.1635,0.6219,0.6557
F0027CH1,4,0.0214,49.9643,49.9429,49.9041,99.8470,0.6669,0.6638
F0027CH1,5,99.8684,149.7855,49.9170,50.1923,100.1094,0.6033,0.3084
F0027CH1,6,199.9778,250.0882,50.1105,49.6972,99.8077,0.6394,0.6421
F0027CH1,7,299.7855,349.9290,50.1436,49.9897,100.1333,0.3084,0.6585
F0027CH1,8,399.9188,449.9091,49.9903,nan,nan,0.6729,0.6523
F0028CH1,0,-400.2111,-349.8179,50.3933,49.6103,100.0036,0.3141,0.3029
F0028CH1,1,-300.2075,-250.2107,49.9968,49.9929,99.9897,0.3200,0.3029
F0028CH1,2,-200.2179,-150.2179,50.0000,50.8103,100.8103,0.3029,0.3029
F0028CH1,3,-99.4075,-50.2111,49.1964,49.9901,99.1865,0.3200,0.3141
F0028CH1,4,-0.2211,50.6304,50.8515,49.1657,100.0172,0.2975,0.4672
F0028CH1,5,99.7962,150.5821,50.7860,49.2033,99.9893,0.3262,0.3029
F0028CH1,6,199.7855,249.7789,49.9935,50.0065,100.0000,0.3084,0.2975
F0028CH1,7,299.7855,349.7897,50.0042,50.7893,100.7935,0.3084,0.2924
F0028CH1,8,400.5789,449.8082,49.2292,nan,nan,0.2975,0.3461
F0029CH1,0,-400.2000,-349.8211,50.3789,49.6000,99.9789,0.3769,0.2975
F0029CH1,1,-300.2211,-250.2259,49.9951,50.0379,100.0331,0.2975,0.3141
F0029CH1,2,-200.1880,-150.1875,50.0005,50.0045,100.0050,0.3392,0.3533
F0029CH1,3,-100.1830,-50.2179,49.9651,50.0179,99.9830,0.3609,0.3029
F0029CH1,4,-0.2000,49.8170,50.0170,49.9651,99.9821,0.3325,0.3609
F0029CH1,5,99.7821,149.7759,49.9937,50.0366,100.0304,0.3029,0.2924
F0029CH1,6,199.8125,249.8120,49.9995,49.9701,99.9696,0.3533,0.3392
F0029CH1,7,299.7821,349.8615,50.0794,50.0385,100.1179,0.3029,0.6126
F0029CH1,8,399.9000,450.1962,50.2962,nan,nan,0.6482,0.3262
